code,brand,category,shirt_fit,date,metric,metric_type,original_url,local_video,download_status,download_url
V54,Vaucluse,Product demo,Strong match,20240724,138000,views,https://www.instagram.com/vauclusestudios/reel/C9zBU-ZJWhl/,media/C9zBU-ZJWhl.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C9zBU-ZJWhl.mp4
V55,Vaucluse,On-body styling,Adapt concept,20240723,10500,views,https://www.instagram.com/vauclusestudios/reel/C9wi8XXJW-K/,media/C9wi8XXJW-K.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C9wi8XXJW-K.mp4
V56,Vaucluse,On-body styling,Outside vibe,20240708,46100,views,https://www.instagram.com/vauclusestudios/reel/C9J1XpFp5VV/,media/C9J1XpFp5VV.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C9J1XpFp5VV.mp4
V57,Vaucluse,On-body styling,Strong match,20240528,160000,views,https://www.instagram.com/vauclusestudios/reel/C7gPW2ZJtIq/,media/C7gPW2ZJtIq.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C7gPW2ZJtIq.mp4
V58,Vaucluse,Lifestyle / travel,Outside vibe,20240527,22800,views,https://www.instagram.com/vauclusestudios/reel/C7drL4zp6xo/,media/C7drL4zp6xo.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C7drL4zp6xo.mp4
V59,Vaucluse,On-body styling,Strong match,20240501,98800,views,https://www.instagram.com/vauclusestudios/reel/C6avBrgJb2g/,media/C6avBrgJb2g.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C6avBrgJb2g.mp4
V60,Vaucluse,Shoot BTS,Adapt concept,20240319,14800,views,https://www.instagram.com/vauclusestudios/reel/C4sCKLhpU7_/,media/C4sCKLhpU7_.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C4sCKLhpU7_.mp4
V61,Vaucluse,Shoot BTS,Adapt concept,20240211,6054,views,https://www.instagram.com/vauclusestudios/reel/C3Mz3VwpwXb/,media/C3Mz3VwpwXb.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C3Mz3VwpwXb.mp4
V62,Vaucluse,Lifestyle / travel,Adapt concept,20240101,14800,views,https://www.instagram.com/vauclusestudios/reel/C1jMmCqpwUN/,media/C1jMmCqpwUN.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C1jMmCqpwUN.mp4
V63,Vaucluse,Lifestyle / travel,Adapt concept,20231226,18200,views,https://www.instagram.com/vauclusestudios/reel/C1Vb5CfSRVG/,media/C1Vb5CfSRVG.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C1Vb5CfSRVG.mp4
V64,Vaucluse,Shoot BTS,Adapt concept,20231207,11700,views,https://www.instagram.com/vauclusestudios/reel/C0i-z3xpgvn/,media/C0i-z3xpgvn.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C0i-z3xpgvn.mp4
V65,Vaucluse,Product demo,Outside vibe,20230516,5292,views,https://www.instagram.com/vauclusestudios/reel/CsTEiquJx8C/,media/CsTEiquJx8C.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CsTEiquJx8C.mp4
V66,Vaucluse,Founder / process,Adapt concept,20230220,3173,views,https://www.instagram.com/vauclusestudios/reel/Co4EtXwpRuT/,media/Co4EtXwpRuT.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Co4EtXwpRuT.mp4
V67,Vaucluse,Founder / process,Strong match,20230213,4821,views,https://www.instagram.com/vauclusestudios/reel/ColfEhTpc1x/,media/ColfEhTpc1x.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/ColfEhTpc1x.mp4
V68,Vaucluse,Graphic / concept,Outside vibe,20230126,4213,views,https://www.instagram.com/vauclusestudios/reel/Cn3vrApJv-Y/,media/Cn3vrApJv-Y.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Cn3vrApJv-Y.mp4
V69,Vaucluse,Lifestyle / travel,Outside vibe,20221123,2306,views,https://www.instagram.com/vauclusestudios/reel/ClS-vFxj3Fg/,media/ClS-vFxj3Fg.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/ClS-vFxj3Fg.mp4
V70,Vaucluse,On-body styling,Outside vibe,20221117,2781,views,https://www.instagram.com/vauclusestudios/reel/ClDjHehjVJF/,media/ClDjHehjVJF.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/ClDjHehjVJF.mp4
V71,Vaucluse,On-body styling,Outside vibe,20221023,2194,views,https://www.instagram.com/vauclusestudios/reel/CkCpK2ODqKB/,media/CkCpK2ODqKB.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CkCpK2ODqKB.mp4
V72,Vaucluse,On-body styling,Outside vibe,20220929,2716,views,https://www.instagram.com/vauclusestudios/reel/CjFZjTKDvvr/,media/CjFZjTKDvvr.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CjFZjTKDvvr.mp4
V73,Vaucluse,Lifestyle / travel,Adapt concept,20220927,6725,views,https://www.instagram.com/vauclusestudios/reel/CjAPT1AjW5C/,media/CjAPT1AjW5C.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CjAPT1AjW5C.mp4
V74,Vaucluse,Shoot BTS,Adapt concept,20220915,1653,views,https://www.instagram.com/vauclusestudios/reel/CihBYL6jg83/,media/CihBYL6jg83.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CihBYL6jg83.mp4
V75,Vaucluse,On-body styling,Outside vibe,20220823,4228,views,https://www.instagram.com/vauclusestudios/reel/ChmC_meje9d/,media/ChmC_meje9d.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/ChmC_meje9d.mp4
V76,Vaucluse,On-body styling,Outside vibe,20220818,3006,views,https://www.instagram.com/vauclusestudios/reel/ChZQLE4DnTv/,media/ChZQLE4DnTv.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/ChZQLE4DnTv.mp4
V77,Vaucluse,Graphic / concept,Outside vibe,20220811,304,views,https://www.instagram.com/vauclusestudios/reel/ChHK2OSjsWh/,media/ChHK2OSjsWh.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/ChHK2OSjsWh.mp4
V78,Vaucluse,Lifestyle / travel,Outside vibe,20220705,3184,views,https://www.instagram.com/vauclusestudios/reel/Cfn3KpUDr3-/,media/Cfn3KpUDr3-.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/Cfn3KpUDr3-.mp4
V79,Vaucluse,Product demo,Outside vibe,20220629,1532,views,https://www.instagram.com/vauclusestudios/reel/CfYYmO6jHgU/,media/CfYYmO6jHgU.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/CfYYmO6jHgU.mp4
